Table S1b Top ranked cell type-enriched genes based on human data					
					
Zhang2016_logFC	Darmanis2015_logFC	grand_mean	gene	Celltype	
6.28005594667769	7.25794416360492	6.7690000551413	GPR98	ast	
5.69152823635384	7.24066895755882	6.46609859695633	AQP4	ast	
6.5773944088273	6.32652555628888	6.45195998255809	GJA1	ast	
5.96686528568683	6.28596780825376	6.1264165469703	ETNPPL	ast	
5.46693707313333	6.41507053126219	5.94100380219776	BMPR1B	ast	
5.73300997505253	6.04324170996293	5.88812584250773	SLC1A2	ast	
5.69591532996671	5.40552825774542	5.55072179385607	GJB6	ast	
5.63954502913031	5.08209339619942	5.36081921266486	SLC4A4	ast	
4.94799763348392	5.72257724155128	5.3352874375176	RYR3	ast	
5.34500504421528	5.28928903789419	5.31714704105474	SLCO1C1	ast	
5.50287690849641	5.09946880262321	5.30117285555981	AGT	ast	
5.39413584403473	5.05332007110403	5.22372795756938	F3	ast	
5.42554305618227	4.84367098454519	5.13460702036373	CLU	ast	
4.86176925501453	5.21360680932515	5.03768803216984	CLDN10	ast	
5.6777880730877	4.34764914439441	5.01271860874106	SLC39A12	ast	
4.7591018303682	5.26479475688411	5.01194829362615	ATP1A2	ast	
5.04688494547155	4.96536487324685	5.0061249093592	RANBP3L	ast	
5.51760563429983	4.46756344392672	4.99258453911327	ATP1B2	ast	
4.84325412223765	5.01320987713426	4.92823199968596	EDNRB	ast	
5.30417808331952	4.50530347941099	4.90474078136526	SDC4	ast	
4.9921695753074	4.7573542627779	4.87476191904265	GPR37L1	ast	
4.82908479275912	4.87123483492555	4.85015981384234	GABRA2	ast	
4.4981282585984	5.19887226311143	4.84850026085492	SLC25A18	ast	
5.4456414911802	4.22873231539228	4.83718690328624	EFEMP1	ast	
5.44690016129953	4.19556448356114	4.82123232243034	FGFR3	ast	
5.22920273410778	4.41115958839333	4.82018116125055	NCAN	ast	
4.72960717437655	4.86256665695095	4.79608691566375	SLC7A11	ast	
5.34005888656006	4.17208444533483	4.75607166594744	WIF1	ast	
4.69699444684444	4.8012385346317	4.74911649073807	MGST1	ast	
4.57104465917039	4.91594890664826	4.74349678290933	GFAP	ast	
4.09307441088124	5.29392665171833	4.69350053129979	ALDOC	ast	
4.81574041629931	4.48560472909786	4.65067257269859	ATP13A4	ast	
4.7470430962592	4.5402408332925	4.64364196477585	SLC13A5	ast	
4.34183020084162	4.9137573096774	4.62779375525951	TPD52L1	ast	
3.86686597667516	5.24051650061092	4.55369123864304	LRRC16A	ast	
5.05552254356403	4.0478125785786	4.55166756107132	GLI3	ast	
5.43233187441269	3.62760178811963	4.52996683126616	SLC14A1	ast	
3.96238450931558	5.06443592205015	4.51341021568287	STON2	ast	
4.69531020092646	4.25282471802427	4.47406745947536	PSD2	ast	
4.81055175159708	4.13628660587159	4.47341917873433	CPE	ast	
4.48814067477484	4.42800039457104	4.45807053467294	IL33	ast	
4.12098161263294	4.71834963774289	4.41966562518791	DIO2	ast	
4.87148476446734	3.94091871674599	4.40620174060666	ID4	ast	
4.60976990475906	4.19486569312353	4.40231779894129	SOX9	ast	
4.3216945613444	4.40450748866832	4.36310102500636	GPAM	ast	
4.33448676901971	4.3798699492848	4.35717835915226	SFXN5	ast	
4.58932945387464	4.08510169894088	4.33721557640776	RNF219-AS1	ast	
4.83703702446743	3.82840064660191	4.33271883553467	TRIL	ast	
3.72877404277191	4.88615622590291	4.30746513433741	MRVI1	ast	
4.21430925056203	4.371277656952	4.29279345375702	CHI3L1	ast	
4.52483352006768	4.0375732183993	4.28120336923349	SPARCL1	ast	
3.97594453654022	4.52709120844964	4.25151787249493	PAX6	ast	
5.03600889299894	3.45608831891654	4.24604860595774	CHRDL1	ast	
4.183169878201	4.28262735111349	4.23289861465724	LINC00499	ast	
5.03520249858875	3.42495858214345	4.2300805403661	PPAP2B	ast	
5.12822704454442	3.30909791838365	4.21866248146403	PAMR1	ast	
4.35840314548359	4.0175405655708	4.1879718555272	ALDH1L1	ast	
4.18989934996874	4.18170317215309	4.18580126106092	GABRG1	ast	
5.00578073718507	3.34762648393433	4.1767036105597	SPON1	ast	
4.92879367897198	3.40822670815295	4.16851019356247	ELOVL2	ast	
4.42161345412016	3.89532247672529	4.15846796542273	RFX4	ast	
4.96862527756201	3.22988723502539	4.0992562562937	KCNN3	ast	
4.66043514209207	3.51919057530924	4.08981285870066	SERPINE2	ast	
4.07150091329625	4.07922615592181	4.07536353460903	ACOT11	ast	
4.2168919007201	3.92629066148842	4.07159128110426	GPR125	ast	
3.75119617713125	4.36626870559475	4.058732441363	FAM107A	ast	
4.27566717635715	3.8372385396137	4.05645285798542	ACSL6	ast	
3.89747577540698	4.20150305020337	4.04948941280517	LGI1	ast	
4.12165905684137	3.96714267519724	4.0444008660193	MT3	ast	
4.72683091804675	3.34197098753555	4.03440095279115	P2RY1	ast	
3.87856264038387	4.16379955321794	4.02118109680091	PAPLN	ast	
4.38301505919056	3.56986659667579	3.97644082793318	NTRK2	ast	
3.86395944706318	4.08315168234465	3.97355556470392	ACSBG1	ast	
4.35367080011677	3.58984593660941	3.97175836836309	S1PR1	ast	
4.21989595501812	3.71993404986004	3.96991500243908	DDAH1	ast	
4.51830350890306	3.398033705027	3.95816860696503	MLC1	ast	
4.62918280530194	3.23766835968721	3.93342558249458	EMX2OS	ast	
4.12746480379118	3.65580227285957	3.89163353832538	ADCYAP1R1	ast	
4.045180057584	3.72333277367065	3.88425641562732	STOX1	ast	
4.55704142946522	3.20908081825155	3.88306112385839	BBOX1	ast	
4.32145313413329	3.44340373943695	3.88242843678512	SCARA3	ast	
4.1327032033133	3.62630708627875	3.87950514479603	RORB	ast	
3.89839212536539	3.833284482537	3.86583830395119	GRAMD1C	ast	
4.14815229497998	3.57338565197779	3.86076897347889	GPC5	ast	
3.93945604683312	3.77008620705196	3.85477112694254	IQCA1	ast	
3.95197100258863	3.75389056003552	3.85293078131207	PREX2	ast	
3.71195714508293	3.97289643687803	3.84242679098048	FAM189A2	ast	
3.76965607907391	3.9014299835335	3.83554303130371	SLC1A3	ast	
4.61637918147683	3.0447792631827	3.83057922232976	TUBB2B	ast	
4.18913066827094	3.46779162306001	3.82846114566548	LAMA1	ast	
3.7787037313602	3.8749501346431	3.82682693300165	MGAT4C	ast	
3.82405605078364	3.82336277892064	3.82370941485214	DNAH7	ast	
3.9572009162724	3.68210457125167	3.81965274376203	C1ORF61	ast	
4.50129142475817	3.13307357926813	3.81718250201315	DCHS2	ast	
3.98268326442114	3.6325664358897	3.80762485015542	RP1-68D18.3	ast	
4.28945599828499	3.32176240361961	3.8056092009523	PRSS35	ast	
4.36585754086924	3.20392418751752	3.78489086419338	PPP1R3C	ast	
4.32418948448942	3.22465323066099	3.77442135757521	AK4	ast	
4.31654251679555	3.16897564234909	3.74275907957232	LINC00982	ast	
3.2416492807067	4.22955342105928	3.73560135088299	TRPM3	ast	
3.88668734388634	3.54193247964668	3.71430991176651	RGS20	ast	
4.53877258334615	2.84857389262924	3.69367323798769	SLC6A11	ast	
3.91191029450744	3.45892860299643	3.68541944875193	CST3	ast	
3.39249972249624	3.96664092587965	3.67957032418794	SELENBP1	ast	
4.2926763034131	3.03201022863487	3.66234326602398	FAM171B	ast	
4.03650357274251	3.2653856862424	3.65094462949246	HEPACAM	ast	
2.91378467935077	4.34117400095829	3.62747934015453	SLC15A2	ast	
4.11357840533411	3.11118514832947	3.61238177683179	HEPH	ast	
3.33034528010653	3.87593021898368	3.60313774954511	GRM3	ast	
3.57144049381423	3.61626937349105	3.59385493365264	LGR4	ast	
3.73671455931664	3.43948589208442	3.58810022570053	CACHD1	ast	
4.24356250573938	2.90266403223916	3.57311326898927	ABCD2	ast	
4.10319650204545	3.03685179820386	3.57002415012465	MYBPC1	ast	
3.67112944944879	3.43537653745537	3.55325299345208	CRB1	ast	
4.31219665980856	2.78997629324167	3.55108647652512	TMEM47	ast	
4.03557623990629	3.05888009010509	3.54722816500569	RP11-437J2.3	ast	
4.02393113990323	3.0168257910496	3.52037846547641	SLC1A4	ast	
3.04335418034724	3.98121901789823	3.51228659912274	CKB	ast	
4.11488958273925	2.90026998023199	3.50757978148562	PPP1R1B	ast	
3.40718146098127	3.60168624524817	3.50443385311472	AHCYL1	ast	
3.52872820986454	3.45510988671291	3.49191904828872	RP4-673D20.6	ast	
