Table S1e Top ranked cell type-expressed genes based on human data					
					
Zhang2016_rank	Darmanis2015_rank	grand_rank	gene	Celltype	
1	3	2	MT-RNR2	ast	
3	2	2.5	SLC1A2	ast	
5	1	3	MALAT1	ast	
4	4	4	MT-CO1	ast	
6	6	6	SPARCL1	ast	
7	10	8.5	SLC1A3	ast	
8	11	9.5	GLUL	ast	
11	8	9.5	MT-ND4	ast	
10	16	13	MT-CO3	ast	
14	12	13	MT-CYB	ast	
12	15	13.5	AQP4	ast	
23	7	15	CLU	ast	
13	18	15.5	MT-CO2	ast	
19	14	16.5	DST	ast	
2	31	16.5	MT-RNR1	ast	
17	22	19.5	ATP1A2	ast	
16	25	20.5	ATP1B2	ast	
33	9	21	FAM171B	ast	
20	23	21.5	MACF1	ast	
31	13	22	MT-ND2	ast	
21	24	22.5	GPM6A	ast	
18	29	23.5	CPE	ast	
9	38	23.5	NTRK2	ast	
15	37	26	GJA1	ast	
26	28	27	GPR98	ast	
22	32	27	MT-ND5	ast	
28	27	27.5	MT-ND1	ast	
43	20	31.5	DPYSL2	ast	
44	19	31.5	MT-ATP6	ast	
24	47	35.5	GLUD1	ast	
53	21	37	NEAT1	ast	
42	33	37.5	PCDH9	ast	
25	52	38.5	PTPRZ1	ast	
36	42	39	SYNE1	ast	
75	5	40	SAT1	ast	
38	45	41.5	APC	ast	
54	30	42	HSP90AA1	ast	
48	41	44.5	ETNPPL	ast	
30	61	45.5	GPM6B	ast	
58	36	47	DDAH1	ast	
40	60	50	DTNA	ast	
61	49	55	HSPA8	ast	
85	26	55.5	ALDOC	ast	
32	81	56.5	MT-ND4L	ast	
29	85	57	AHCYL1	ast	
63	67	65	NRXN1	ast	
50	83	66.5	QKI	ast	
35	101	68	FAM107A	ast	
52	86	69	PREX2	ast	
60	79	69.5	LDHB	ast	
51	96	73.5	EDNRB	ast	
107	40	73.5	F3	ast	
89	59	74	RYR3	ast	
83	71	77	LSAMP	ast	
87	69	78	ACTB	ast	
113	44	78.5	HSPA5	ast	
56	109	82.5	ADD3	ast	
34	131	82.5	SLC4A4	ast	
49	117	83	SPTBN1	ast	
82	87	84.5	ANK2	ast	
45	127	86	DDX17	ast	
104	72	88	EZR	ast	
69	107	88	LIFR	ast	
64	113	88.5	EEF1A1	ast	
124	57	90.5	GAPDH	ast	
72	110	91	C1ORF61	ast	
62	121	91.5	NRCAM	ast	
81	103	92	PPAP2B	ast	
129	58	93.5	NFIA	ast	
71	123	97	ASPH	ast	
108	88	98	TSPAN7	ast	
65	133	99	ARHGAP5	ast	
181	17	99	PON2	ast	
168	34	101	FOS	ast	
66	145	105.5	SCG3	ast	
175	39	107	CALM2	ast	
167	50	108.5	DDX5	ast	
119	98	108.5	SLC7A11	ast	
59	160	109.5	KIF1B	ast	
70	151	110.5	HTRA1	ast	
128	95	111.5	GABRA2	ast	
123	104	113.5	CADM1	ast	
160	73	116.5	FTL	ast	
120	116	118	SORBS1	ast	
146	92	119	DIO2	ast	
76	163	119.5	SYT11	ast	
190	63	126.5	LRRC16A	ast	
189	65	127	AMER2	ast	
139	115	127	HSP90AB1	ast	
183	75	129	MARCH6	ast	
182	80	131	SEPT7	ast	
126	137	131.5	KMT2C	ast	
194	74	134	SLCO1C1	ast	
121	148	134.5	SCD5	ast	
80	190	135	TMBIM6	ast	
218	55	136.5	NFIB	ast	
141	136	138.5	GPR37L1	ast	
137	141	139	ATP5B	ast	
103	176	139.5	PSAP	ast	
74	205	139.5	PTN	ast	
47	233	140	NCAN	ast	
97	186	141.5	PTPLAD1	ast	
186	100	143	AGT	ast	
109	180	144.5	PMP2	ast	
125	165	145	RANBP3L	ast	
164	129	146.5	BAZ2B	ast	
211	82	146.5	CHR22-38_28785274-29006793.1	ast	
179	118	148.5	HNRNPA2B1	ast	
159	142	150.5	NEBL	ast	
174	130	152	OMG	ast	
210	97	153.5	CRYAB	ast	
101	209	155	TNIK	ast	
212	99	155.5	LMO3	ast	
144	168	156	MYO10	ast	
73	240	156.5	PIK3C2A	ast	
110	204	157	KIAA1109	ast	
68	258	163	CALM1	ast	
115	211	163	FMNL2	ast	
37	289	163	SCD	ast	
216	111	163.5	MYO6	ast	
143	185	164	ACSL6	ast	
116	214	165	NCAM1	ast	
257	77	167	UBC	ast	
95	244	169.5	ARHGEF12	ast	
180	162	171	ATP13A4	ast	
300	43	171.5	BMPR1B	ast	
253	90	171.5	HNRNPU	ast	
219	125	172	NTM	ast	
122	223	172.5	SLC6A1	ast	
202	149	175.5	GRIA2	ast	
88	275	181.5	SERPINE2	ast	
279	91	185	SON	ast	
193	178	185.5	SOX9	ast	
102	270	186	DKK3	ast	
93	279	186	EIF4G2	ast	
105	273	189	SESN3	ast	
332	48	190	H3F3B	ast	
176	206	191	STOM	ast	
228	155	191.5	ITPR2	ast	
111	272	191.5	LRIG1	ast	
152	232	192	CSRP1	ast	
94	296	195	ABLIM1	ast	
196	194	195	BBS2	ast	
204	187	195.5	TRIM2	ast	
84	309	196.5	SEPT2	ast	
140	255	197.5	LRP1B	ast	
130	266	198	MTATP6P1	ast	
315	84	199.5	ABCA1	ast	
274	126	200	GRAMD3	ast	
324	76	200	PNISR	ast	
296	106	201	EGR1	ast	
292	114	203	ACTG1	ast	
234	172	203	PLP1	ast	
57	351	204	GFAP	ast	
132	276	204	SRI	ast	
91	318	204.5	SLC1A4	ast	
177	235	206	MSI2	ast	
203	213	208	GJB6	ast	
256	161	208.5	PSAT1	ast	
229	193	211	SPAG9	ast	
195	230	212.5	PCM1	ast	
77	349	213	CANX	ast	
239	188	213.5	CCDC88A	ast	
321	108	214.5	CPEB4	ast	
117	315	216	PRKCA	ast	
278	156	217	ZFHX4	ast	
191	246	218.5	CNN3	ast	
185	254	219.5	GPAM	ast	
318	122	220	RBM39	ast	
294	147	220.5	SOX2-OT	ast	
150	299	224.5	KCNN3	ast	
273	179	226	ZFAND5	ast	
205	249	227	LAMP2	ast	
106	348	227	TP53BP2	ast	
