Table S1h Top ranked cell type-specfic genes based on human data					
					
Zhang2016_logFC	Darmanis2015_logFC	grand_mean	gene	Celltype	
4.96892870040208	5.76075118065102	5.36483994052655	GPR98	ast	
4.11272497337376	6.24167698599088	5.17720097968232	AQP4	ast	
4.49227045694974	5.2991821887593	4.89572632285452	BMPR1B	ast	
4.92199689181277	4.56887351155391	4.74543520168334	ETNPPL	ast	
4.59521655507098	4.25148915135008	4.42335285321053	GJB6	ast	
4.40927160722212	4.32982440437424	4.36954800579818	GJA1	ast	
4.5115308512273	4.0258336949999	4.2686822731136	FGFR3	ast	
3.95414738480772	4.4786731692866	4.21641027704716	SLC25A18	ast	
4.11675923503638	4.09106780677455	4.10391352090546	SLC1A2	ast	
4.44220572294682	3.75734344650034	4.09977458472358	SDC4	ast	
3.39622523041356	4.76801267644405	4.08211895342881	GFAP	ast	
3.80506953428713	4.31934668281091	4.06220810854902	EDNRB	ast	
4.01095211177829	3.95678910299041	3.98387060738435	RNF219-AS1	ast	
3.81089835293984	4.03607102234514	3.92348468764249	LINC00499	ast	
3.87629109317366	3.95212334925649	3.91420722121508	ALDH1L1	ast	
3.62665042392885	4.17819048385894	3.90242045389389	CHI3L1	ast	
3.95869142748252	3.79594677391435	3.87731910069843	CLDN10	ast	
4.68234131543192	3.06268796657514	3.87251464100353	AGT	ast	
3.82053849813635	3.887706037536	3.85412226783617	SLCO1C1	ast	
3.8410837397962	3.80377932784465	3.82243153382043	SLC4A4	ast	
3.87555744282534	3.66201453664616	3.76878598973575	GPAM	ast	
4.29619720353909	3.20696059871379	3.75157890112644	SLC14A1	ast	
3.46436777654268	4.01076955367762	3.73756866511015	IL33	ast	
4.11410419137536	3.31976255750928	3.71693337444232	ID4	ast	
3.36041813939153	4.03115427810668	3.6957862087491	ACSBG1	ast	
4.0781620744852	3.29446195429602	3.68631201439061	MLC1	ast	
3.72799849941962	3.61890912756138	3.6734538134905	MGST1	ast	
4.10048191522193	3.09429579684099	3.59738885603146	LINC00982	ast	
4.20982461824731	2.9708453811782	3.59033499971276	SLC39A12	ast	
3.94140791524997	3.21322410321665	3.57731600923331	NCAN	ast	
