Table S1c Top ranked cell type-enriched genes based on mouse data						
						
Zhang2014_logFC	Zeisel2014_logFC	Tasic2016_logFC	grand_mean	gene	Celltype	
6.43323524026096	6.12701616055801	8.59373481904637	7.05132873995512	AQP4	ast	
3.83351663070749	4.93829351059261	9.10799800488145	5.95993604872719	PLA2G7	ast	
4.69304880976302	4.38868273508945	8.72027027971934	5.9340006081906	GJA1	ast	
6.14674578371596	4.40742416304832	6.67474655476982	5.74297216717803	SLC4A4	ast	
4.07844989102471	4.30640232278896	8.78051378068584	5.72178866483317	GJB6	ast	
5.19456714407105	4.42121227506104	7.42227567979701	5.67935169964303	SLC1A3	ast	
5.78602289351396	3.77043502287469	7.33334349063939	5.62993380234268	FGFR3	ast	
5.18175524423226	3.01875353792655	8.61352041175773	5.60467639797218	F3	ast	
5.34402602769288	3.95952770398189	7.13535612799111	5.47963661988863	ALDH1L1	ast	
5.67267084833604	3.68657539022602	7.00596862791096	5.45507162215767	DIO2	ast	
4.38609618622651	4.52755476090949	7.4096035107044	5.44108481928013	ACSBG1	ast	
4.79000103962879	3.75359350395501	7.58566724241104	5.37642059533161	SLC39A12	ast	
4.447741608989	4.64154532942301	6.98595437720638	5.35841377187279	CLDN10	ast	
5.84932286143164	2.22562185028546	7.89493968786121	5.32329479985944	CHRDL1	ast	
3.68369692514558	4.85852297099518	7.39064037664722	5.31095342426266	NTSR2	ast	
5.63681227238883	6.23210857441596	4.03711277625511	5.30201120768664	FABP7	ast	
6.52680811968897	4.31114899968145	5.03313773293568	5.2903649507687	PTPRZ1	ast	
5.62468492126024	3.15946733123598	7.05129477134236	5.27848234127953	PPP1R3C	ast	
3.413444636755	5.54816614289143	6.76999769615614	5.24386949193419	ALDOC	ast	
5.39682479750604	3.03593073663242	7.21160826772741	5.21478793395529	CBS	ast	
5.00303380546727	5.00523922629216	5.56857939054159	5.19228414076701	SLC1A2	ast	
5.84689146823033	3.45288159198085	6.19849345756641	5.1660888392592	SLC14A1	ast	
4.71416447672838	4.34654282113424	6.347948999248	5.13621876570354	PPAP2B	ast	
4.68489128040598	4.23587431358871	6.45920004342849	5.12665521247439	MLC1	ast	
6.47619699460312	2.39776510144142	6.43469003624609	5.10288404409688	ATP13A4	ast	
6.15127464968293	2.7743224109568	6.20815983705239	5.04458563256404	BMPR1B	ast	
5.3735389606309	2.22503812830736	7.37578690167178	4.99145466353668	PLCD4	ast	
5.36256686351473	3.57707390761382	5.85810255734506	4.9325811094912	SOX9	ast	
3.79808980257251	4.30564894533928	6.56005863100497	4.88793245963892	GPR37L1	ast	
5.44507447076374	2.66816010799137	6.31120488657765	4.80814648844426	GRM3	ast	
3.63980488004914	4.27470059759365	6.4894086327121	4.80130470345163	LCAT	ast	
3.45451096001766	5.53747469665579	5.3709266203556	4.78763742567635	CLU	ast	
3.86871455727845	3.90241821667687	6.50813906442551	4.75975727946028	GFAP	ast	
4.34957909267914	4.23132775539161	5.60629840989438	4.72906841932171	ACSL6	ast	
4.23884548757509	3.42589463837421	6.51136836419665	4.72536949671531	SLC25A18	ast	
5.78404268641398	2.61080164639382	5.74183628376478	4.71222687219086	ITIH3	ast	
5.72759830431542	3.6585063748025	4.72456360638567	4.70355609516787	SLC6A11	ast	
5.97502003399457	2.7658670792614	5.35299624309886	4.69796111878494	GLI3	ast	
6.1614105418887	2.82275889888397	5.06108450672387	4.68175131583218	GM3764	ast	
4.72745247824603	3.79932722579845	5.48591146826878	4.67089705743775	EDNRB	ast	
4.12809509513603	1.95907966094025	7.86756200104921	4.65157891904183	SLCO1C1	ast	
5.19648924015727	3.41752913010817	5.31075949676602	4.64159262234382	RFX4	ast	
5.04584093905878	3.37038185853419	5.47891135179272	4.63171138312856	SLC15A2	ast	
6.17700351673969	2.69061559518901	5.0262100472381	4.63127638638893	NWD1	ast	
4.89428752215036	3.90598330919017	5.08814166521591	4.62947083218548	RORB	ast	
4.03021400989585	4.62615528411718	5.22283181383673	4.62640036928325	ATP1A2	ast	
5.88795612510748	2.45275775402586	5.44722985955722	4.59598124623019	EGFR	ast	
2.72255904179802	4.21008237837171	6.79681466698122	4.57648536238365	SDC4	ast	
5.0372887913391	3.03741577595675	5.63774419438928	4.57081625389505	KIAA1161	ast	
5.30877702598019	4.43140134378376	3.97180552658502	4.57066129878299	NCAN	ast	
4.69899930952365	3.5231760670704	5.45840671889495	4.56019403182967	2900052N01RIK	ast	
6.01063364117074	1.37308343194892	6.27886683191694	4.5541946350122	LGR6	ast	
4.33434942364244	2.89233083808656	6.37494947595196	4.53387657922699	SLC7A11	ast	
