Table S1f Top ranked cell type-expressed genes based on mouse data						
						
Zhang2014_rank	Zeisel2014_rank	Tasic2016_rank	grand_rank	gene	Celltype	
12	2	1	2	MALAT1	ast	
4	3	4	4	SLC1A2	ast	
49	4	6	6	MT-CYB	ast	
6	17	5	6	SLC1A3	ast	
3	7	10	7	SPARCL1	ast	
886	1	9	9	MT-RNR2	ast	
9	10	40	10	CPE	ast	
5	11	20	11	ATP1A2	ast	
14	5	11	11	CST3	ast	
51	12	2	12	CLU	ast	
13	13	12	13	MT-CO1	ast	
71	15	3	15	ALDOC	ast	
8	16	331	16	APOE	ast	
109	6	17	17	MT-ND1	ast	
15	20	44	20	GLUL	ast	
37	24	8	24	GJA1	ast	
217	26	16	26	PRDX6	ast	
77	27	14	27	GPM6A	ast	
27	93	27	27	SLC6A1	ast	
29	34	7	29	TSPAN7	ast	
30	83	15	30	MFGE8	ast	
7	31	186	31	SCD	ast	
34	41	25	34	QKI	ast	
35	286	35	35	GM3764	ast	
31	35	63	35	PPAP2B	ast	
216	36	23	36	ID2	ast	
1339	9	37	37	MT1E	ast	
246	37	18	37	PLA2G7	ast	
3157	8	38	38	MT-RNR1	ast	
39	21	70	39	AQP4	ast	
150	39	31	39	MT-ND5	ast	
40	25	900	40	FABP7	ast	
33	40	291	40	RN18S-RS5	ast	
64	19	41	41	GPM6B	ast	
24	42	169	42	SLC4A4	ast	
17	44	105	44	NCAN	ast	
38	45	97	45	TTYH1	ast	
860	46	22	46	GSTM1	ast	
46	142	30	46	SLCO1C1	ast	
547	48	42	48	LDHB	ast	
74	47	50	50	NDRG2	ast	
20	50	74	50	PTN	ast	
151	51	36	51	CD81	ast	
258	23	51	51	MT-ND4	ast	
163	14	53	53	MT-ND2	ast	
1	55	61	55	PTPRZ1	ast	
123	57	33	57	MSMO1	ast	
85	59	19	59	ACTB	ast	
152	58	59	59	SERPINE2	ast	
47	60	77	60	NTRK2	ast	
61	85	39	61	CKB	ast	
826	61	28	61	SDC4	ast	
143	63	24	63	MMD2	ast	
32	64	92	64	SON	ast	
357	65	55	65	CA2	ast	
54	70	137	70	HMGCS1	ast	
90	43	73	73	GPR37L1	ast	
58	76	102	76	EDNRB	ast	
60	78	369	78	GLUD1	ast	
79	150	75	79	HNRNPA2B1	ast	
43	81	243	81	CSPG5	ast	
81	49	85	81	SCG3	ast	
221	75	81	81	ZBTB20	ast	
959	66	83	83	CLDN10	ast	
22	235	84	84	HSPA5	ast	
21	84	2038	84	SLC6A11	ast	
